"","Country","UN Region","IMF[5][6]","GDP_WB","CIA[8]"
"218","Sierra Leone'","Africa","1,958",1739,"1,718"
"219","Liberia'","Africa","1,779",1428,"1,428"
"220","Madagascar'","Africa","1,778",1593,"1,647"
"221","Chad'","Africa","1,705",1603,"1,580"
"222","North Korea'","Asia","N/A",NA,"1,700"
"223","Malawi'","Africa","1,603",1568,"1,060"
"224","Mozambique'","Africa","1,439",1297,"1,281"
"225","Niger'","Africa","1,435",1263,"1,225"
"226","Somalia'","Africa","1,322",875.2,"800"
"227","DR Congo'","Africa","1,316",1131,"1,098"
"228","Central African Republic'","Africa","1,102",979.6,"945"
"229","South Sudan'","Africa","928",1235,"1,600"
"230","Burundi'","Africa","856",771.2,"752"
